# path=square5
t,leg,leg_type,true_x,true_y,true_yaw,loc_x,loc_y,loc_yaw,glob_x,glob_y,glob_yaw,odom_x,odom_y,odom_yaw,cum_dist,cum_rot
1785541460.643,5,straight,-0.5654,5.0373,-3.11686,-0.5735,4.9953,-3.11686,nan,nan,nan,-4.4511,-0.7116,0.38831,5.6271,3.16633
1785541460.893,5,straight,-0.6734,5.0346,-3.11686,-0.6770,4.9927,-3.11686,nan,nan,nan,-4.3512,-0.6707,0.38831,5.7351,3.16633
1785541461.143,5,straight,-0.7903,5.0317,-3.11686,-0.7984,4.9897,-3.11686,nan,nan,nan,-4.2429,-0.6264,0.38831,5.8521,3.16633
1785541461.393,5,straight,-0.8983,5.0290,-3.11686,-0.9019,4.9871,-3.11686,nan,nan,nan,-4.1429,-0.5855,0.38831,5.9601,3.16633
1785541461.643,5,straight,-1.0153,5.0261,-3.11686,-1.0234,4.9841,-3.11686,nan,nan,nan,-4.0346,-0.5412,0.38831,6.0771,3.16633
1785541461.893,5,straight,-1.1232,5.0235,-3.11686,-1.1268,4.9816,-3.11686,nan,nan,nan,-3.9347,-0.5003,0.38831,6.1851,3.16633
1785541462.143,5,straight,-1.2402,5.0206,-3.11686,-1.2483,4.9786,-3.11686,nan,nan,nan,-3.8264,-0.4560,0.38831,6.3021,3.16633
1785541462.393,5,straight,-1.3482,5.0179,-3.11686,-1.3518,4.9760,-3.11686,nan,nan,nan,-3.7264,-0.4151,0.38831,6.4101,3.16633
1785541462.643,5,straight,-1.4651,5.0150,-3.11686,-1.4732,4.9730,-3.11686,nan,nan,nan,-3.6181,-0.3708,0.38831,6.5271,3.16633
1785541462.893,5,straight,-1.5731,5.0123,-3.11686,-1.5767,4.9704,-3.11686,nan,nan,nan,-3.5182,-0.3299,0.38831,6.6351,3.16633
1785541463.143,5,straight,-1.6900,5.0094,-3.11686,-1.6982,4.9674,-3.11686,nan,nan,nan,-3.4099,-0.2856,0.38831,6.7521,3.16633
1785541463.393,5,straight,-1.7980,5.0068,-3.11686,-1.8016,4.9649,-3.11686,nan,nan,nan,-3.3099,-0.2448,0.38831,6.8601,3.16633
1785541463.643,5,straight,-1.9150,5.0039,-3.11686,-1.9231,4.9619,-3.11686,nan,nan,nan,-3.2016,-0.2005,0.38831,6.9771,3.16633
1785541463.893,5,straight,-2.0229,5.0012,-3.11686,-2.0266,4.9593,-3.11686,nan,nan,nan,-3.1017,-0.1596,0.38831,7.0851,3.16633
1785541464.143,5,straight,-2.1399,4.9983,-3.11686,-2.1480,4.9563,-3.11686,nan,nan,nan,-2.9934,-0.1153,0.38831,7.2021,3.16633
1785541464.393,5,straight,-2.2479,4.9956,-3.11686,-2.2515,4.9537,-3.11686,nan,nan,nan,-2.8934,-0.0744,0.38831,7.3101,3.16633
1785541464.643,5,straight,-2.3648,4.9927,-3.11686,-2.3730,4.9507,-3.11686,nan,nan,nan,-2.7851,-0.0301,0.38831,7.4271,3.16633
1785541464.893,5,straight,-2.4728,4.9901,-3.11686,-2.4764,4.9482,-3.11686,nan,nan,nan,-2.6852,0.0108,0.38831,7.5351,3.16633
